iShares Russell 3000 ETF
Fund Holdings as of,"Feb 02, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"MSFT","MICROSOFT CORP","Information Technology","Equity","828,422,017.34","6.37","828,422,017.34","2,014,547.00","411.22","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","741,864,321.45","5.71","741,864,321.45","3,991,737.00","185.85","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","425,537,812.00","3.27","425,537,812.00","643,195.00","661.60","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","419,004,214.65","3.22","419,004,214.65","2,438,765.00","171.81","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","284,390,287.71","2.19","284,390,287.71","598,729.00","474.99","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","229,030,332.30","1.76","229,030,332.30","1,608,585.00","142.38","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","195,023,204.72","1.50","195,023,204.72","1,358,668.00","143.54","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","193,684,615.50","1.49","193,684,615.50","495,674.00","390.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","152,943,259.05","1.18","152,943,259.05","229,077.00","667.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","142,901,291.78","1.10","142,901,291.78","116,717.00","1,224.34","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","140,343,026.33","1.08","140,343,026.33","746,863.00","187.91","United States","NASDAQ","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","136,537,866.06","1.05","136,537,866.06","781,422.00","174.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","128,382,541.91","0.99","128,382,541.91","251,617.00","510.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","119,708,775.58","0.92","119,708,775.58","431,881.00","277.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","111,766,155.93","0.86","111,766,155.93","1,096,069.00","101.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","103,558,649.52","0.80","103,558,649.52","224,844.00","460.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","102,194,446.01","0.79","102,194,446.01","652,541.00","156.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","100,786,643.43","0.78","100,786,643.43","637,527.00","158.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
